kegg_function,kegg
Organic anion biosynthesis,K00174+K00175
Organic anion biosynthesis,K01902+K01903
Organic anion biosynthesis,K01899+K01900
Organic anion biosynthesis,K18118
Organic anion biosynthesis,K00234+K00235+K00236+K00237
Organic anion biosynthesis,K25801
Organic anion biosynthesis,K00239+K00240+K00241
Organic anion biosynthesis,K00244+K00245+K00246
Organic anion biosynthesis,K01676
Organic anion biosynthesis,K01679
Organic anion biosynthesis,K01677+K01678
Organic anion biosynthesis,K00026
Organic anion biosynthesis,K00025
Organic anion biosynthesis,K00024
Organic anion biosynthesis,K00116
Organic anion biosynthesis,K00164+K00658
Organic anion biosynthesis,K01616+K00382
Organic anion biosynthesis,K00174
Organic anion biosynthesis,K01902+K01903
Organic anion biosynthesis,K01899+K01900
Organic anion biosynthesis,K18118
Organic anion biosynthesis,K00234+K00235+K00236+K00237
Organic anion biosynthesis,K25801
Organic anion biosynthesis,K00239+K00240+K00241
Organic anion biosynthesis,K00244+K00245+K00246
Organic anion biosynthesis,K01676
Organic anion biosynthesis,K01679
Organic anion biosynthesis,K01677+K01678
Organic anion biosynthesis,K00026
Organic anion biosynthesis,K00025
Organic anion biosynthesis,K00024
Organic anion biosynthesis,K00116
Organic anion biosynthesis,K01948
Organic anion biosynthesis,K00611
Organic anion biosynthesis,K01940
Organic anion biosynthesis,K01755
Organic anion biosynthesis,K14681
Organic anion biosynthesis,K01476
Organic anion biosynthesis,K00815
Organic anion biosynthesis,K00838
Organic anion biosynthesis,K00832
Organic anion biosynthesis,K03334
Organic anion biosynthesis,K00457
Organic anion biosynthesis,K00451
Organic anion biosynthesis,K01800
Organic anion biosynthesis,K01555
Organic anion biosynthesis,K16171
Organic anion biosynthesis,K00241+K00242
Organic anion biosynthesis,K18859
Organic anion biosynthesis,K18860+K00239+K00240
Organic anion biosynthesis,K00244+K00245+K00246+K00247
Organic anion biosynthesis,K00169+K00170+K00171+K00172
Organic anion biosynthesis,K01007
Organic anion biosynthesis,K01595
Organic anion biosynthesis,K00024
Organic anion biosynthesis,K01677+K01678
Organic anion biosynthesis,K00239+K00240
Organic anion biosynthesis,K01902+K01903
Organic anion biosynthesis,K15038
Organic anion biosynthesis,K15017
Organic anion biosynthesis,K14465
Organic anion biosynthesis,K14467
Organic anion biosynthesis,K18861
Organic anion biosynthesis,K14534
Organic anion biosynthesis,K15016
Organic anion biosynthesis,K00626
Organic anion biosynthesis,K02160+K01961+K01962+K01963
Organic anion biosynthesis,K14468
Organic anion biosynthesis,K14469
Organic anion biosynthesis,K15052
Organic anion biosynthesis,K05606
Organic anion biosynthesis,K01847
Organic anion biosynthesis,K01848+K01849
Organic anion biosynthesis,K14471+K14472
Organic anion biosynthesis,K00239+K00240+K00241
Organic anion biosynthesis,K01679
Organic anion biosynthesis,K08691
Organic anion biosynthesis,K14449
Organic anion biosynthesis,K14470
Organic anion biosynthesis,K09709
Organic anion biosynthesis,K00169+K00170+K00171+K00172
Organic anion biosynthesis,K01959+K01960
Organic anion biosynthesis,K00024
Organic anion biosynthesis,K01677+K01678
Organic anion biosynthesis,K18209+K18210
Organic anion biosynthesis,K01902+K01903
Organic anion biosynthesis,K00174+K00175+K00176+K00177
Organic anion biosynthesis,K18029+K18030
Organic anion biosynthesis,K14974
Organic anion biosynthesis,K18028
Organic anion biosynthesis,K15357
Organic anion biosynthesis,K13995
Organic anion biosynthesis,K01799
Organic anion biosynthesis,K00611
Organic anion biosynthesis,K01940
Organic anion biosynthesis,K01755
Organic anion biosynthesis,K14681
Organic anion biosynthesis,K22478
Organic anion biosynthesis,K00145
Organic anion biosynthesis,K00821
Organic anion biosynthesis,K09065
Organic anion biosynthesis,K01438
Organic anion biosynthesis,K01940
Organic anion biosynthesis,K01755
Organic anion biosynthesis,2.6.1.1
Organic anion biosynthesis,2.6.1.5
Organic anion biosynthesis,2.6.1.27
Organic anion biosynthesis,2.6.1.57
Organic anion biosynthesis,1.13.11.27
Organic anion biosynthesis,1.13.11.5
Organic anion biosynthesis,5.2.1.2
Organic anion biosynthesis,3.7.1.2
Organic anion biosynthesis,K01647
Organic anion biosynthesis,K05942
Organic anion biosynthesis,K01681
Organic anion biosynthesis,K01682
Organic anion biosynthesis,K00031
Organic anion biosynthesis,K00030
Organic anion biosynthesis,K00164+K00658
Organic anion biosynthesis,K01616+K00382
Organic anion biosynthesis,K00174+K00175
Organic anion biosynthesis,K01902+K01903
Organic anion biosynthesis,K01899+K01900
Organic anion biosynthesis,K18118
Organic anion biosynthesis,K00234+K00235+K00236+K00237
Organic anion biosynthesis,K25801
Organic anion biosynthesis,K00239+K00240+K00241
Organic anion biosynthesis,K00244+K00245+K00246
Organic anion biosynthesis,K01676
Organic anion biosynthesis,K01679
Organic anion biosynthesis,K01677+K01678
Organic anion biosynthesis,K00026
Organic anion biosynthesis,K00025
Organic anion biosynthesis,K00024
Organic anion biosynthesis,K00116
Organic anion biosynthesis,K01647
Organic anion biosynthesis,K05942
Organic anion biosynthesis,K01681
Organic anion biosynthesis,K01682
Organic anion biosynthesis,K00031
Organic anion biosynthesis,K00030
Organic anion biosynthesis,K01647
Organic anion biosynthesis,K01681
Organic anion biosynthesis,K01682
Organic anion biosynthesis,K01637
Organic anion biosynthesis,K01638
Organic anion biosynthesis,K19282
Organic anion biosynthesis,K00026
Organic anion biosynthesis,K00025
Organic anion biosynthesis,K00024
Organic anion biosynthesis,K01647
Organic anion biosynthesis,K01681
Organic anion biosynthesis,K00031
Organic anion biosynthesis,K00261
Organic anion biosynthesis,K19268+K01846
Organic anion biosynthesis,K04835
Organic anion biosynthesis,K19280
Organic anion biosynthesis,K14449
Organic anion biosynthesis,K19281
Organic anion biosynthesis,K19282
Organic anion biosynthesis,K00024
Organic anion biosynthesis,1.1.1.27
Organic anion biosynthesis,1.1.1.22
Organic anion biosynthesis,1.1.1.28
Vitamin biosynthesis,K03148+K03154
Vitamin biosynthesis,K03151
Vitamin biosynthesis,K03150
Vitamin biosynthesis,K03149
Vitamin biosynthesis,K03147
Vitamin biosynthesis,K00941
Vitamin biosynthesis,K00788
Vitamin biosynthesis,K14153
Vitamin biosynthesis,K21219
Vitamin biosynthesis,K00946
Vitamin biosynthesis,K03148+K03154
Vitamin biosynthesis,K03151
Vitamin biosynthesis,K03153
Vitamin biosynthesis,K03149
